prompt_index,model,score
1,phota,0.2519110441207886
2,phota,0.23002822697162628
3,phota,0.21360474824905396
4,phota,0.24780479073524475
5,phota,0.2588164806365967
6,phota,0.2727324068546295
7,phota,0.22614161670207977
8,phota,0.26474297046661377
10,phota,0.289259672164917
11,phota,0.21980568766593933
12,phota,0.2629641592502594
13,phota,0.21388807892799377
14,phota,0.26822543144226074
15,phota,0.2527484893798828
16,phota,0.30836498737335205
17,phota,0.2845836579799652
18,phota,0.3072887361049652
19,phota,0.2430630475282669
20,phota,0.2694920301437378
21,phota,0.2714656591415405
22,phota,0.2506605386734009
23,phota,0.2500241994857788
24,phota,0.2718183994293213
25,phota,0.2699032425880432
26,phota,0.22421598434448242
27,phota,0.25909289717674255
28,phota,0.2493293732404709
29,phota,0.2553020417690277
30,phota,0.24676786363124847
31,phota,0.32266801595687866
32,phota,0.20691968500614166
33,phota,0.25340741872787476
34,phota,0.2477511465549469
35,phota,0.24415342509746552
36,phota,0
37,phota,0.2875242531299591
38,phota,0.29492276906967163
39,phota,0.29076430201530457
40,phota,0.2674236297607422
41,phota,0.2411392629146576
42,phota,0.27743178606033325
43,phota,0.2329455465078354
44,phota,0.21885700523853302
45,phota,0.2533896565437317
46,phota,0.2617124319076538
47,phota,0.22218447923660278
48,phota,0.22525741159915924
49,phota,0.22379611432552338
50,phota,0.25406283140182495
51,phota,0.25165534019470215
52,phota,0.2634362578392029
53,phota,0.2689145803451538
54,phota,0.25406771898269653
55,phota,0.24122250080108643
56,phota,0.23771215975284576
57,phota,0
58,phota,0.2627938985824585
59,phota,0.24327777326107025
60,phota,0.3242565393447876
61,phota,0.28763771057128906
62,phota,0.3003116548061371
63,phota,0.3011895418167114
64,phota,0.21557117998600006
65,phota,0.2883394658565521
66,phota,0.29443737864494324
67,phota,0.22593995928764343
68,phota,0.24898295104503632
69,phota,0.305232971906662
70,phota,0.2638089060783386
71,phota,0.30426204204559326
72,phota,0.2426018863916397
73,phota,0.29833683371543884
74,phota,0.27329352498054504
75,phota,0.3059919774532318
76,phota,0.24547889828681946
77,phota,0.30054718255996704
78,phota,0.2353234589099884
79,phota,0.2594735026359558
80,phota,0.2586488127708435
81,phota,0.2994384765625
82,phota,0.2790054678916931
83,phota,0.252790242433548
84,phota,0.19465702772140503
85,phota,0.22319018840789795
86,phota,0.25874418020248413
87,phota,0.18950475752353668
88,phota,0.2874922752380371
89,phota,0.26976123452186584
90,phota,0.3079504072666168
91,phota,0.2902783751487732
92,phota,0.2821892201900482
