prompt_index,run_ms
1,18257
2,17014
3,16974
4,21732
5,18604
6,18005
7,17788
8,18181
9,17964
10,17004
11,17805
12,18960
14,19051
15,26153
16,17011
17,18002
18,17651
19,16689
20,18364
21,18818
22,34547
23,18056
24,18421
25,18262
26,37511
27,20379
28,19104
29,18611
30,17174
31,17914
33,16834
34,17686
35,23382
36,16958
37,22285
38,18473
39,23274
40,20545
42,28708
43,18243
44,17427
45,16414
46,16991
47,19610
49,18143
50,16570
51,17304
52,16698
53,32512
54,16672
55,17281
56,18084
57,20179
58,17079
59,16700
60,16808
61,18835
62,17470
63,21200
64,16914
66,20136
67,17380
68,24141
69,18224
71,16375
72,19626
73,17743
74,19844
75,20348
76,18275
77,25097
78,18261
79,19497
80,38852
81,19497
82,19029
83,17792
84,16815
85,17519
86,23876
87,19692
88,19310
89,18759
90,16647
91,19020
92,20614
93,32133
94,20047
95,19501
96,18737
97,19947
98,18928
99,18323
100,35120
13,17015
32,19506
41,21685
48,18876
65,17186
70,17332
