task_id,source_index,model,status
7f1aj3qzf3ft9myytt6e2k2vd3,1,nb_pro_ref,submitted
0jgqxtmehep6mgbknseegnpv8r,1,nb_pro_noref,submitted
5w4fyy6xw48j07nww4s3wxd7w9,3,nb_pro_ref,submitted
7prhrr04yjfq01mb1w1eypjc2a,3,nb_pro_noref,submitted
2yqtbk972zf78nhh7nvnbp7x3c,5,nb_pro_ref,submitted
70jsmdq9e5gv5956gpv4wqf8fe,5,nb_pro_noref,submitted
2hay152rt9x08b007n0b71k6jr,8,nb_pro_ref,submitted
20t4sfe22f0j7jrghd835jv48e,8,nb_pro_noref,submitted
7vgvzx4rv5dgjk6dzsvwedbm8e,14,nb_pro_ref,submitted
67wq7kn5ch0dy3w241j0gha7pr,14,nb_pro_noref,submitted
4eexmcmc631w1h7k67kr6h1rkw,21,nb_pro_ref,submitted
0b6w9dpbw5764e7a5xkc0t1g94,21,nb_pro_noref,submitted
7damcaff17fb0gb7p2cvbm3hnm,34,nb_pro_ref,submitted
7c989svjp1nx7ba7j6wj8ws0a7,34,nb_pro_noref,submitted
567pmm9qw7kftj2jnd4zphp8xk,70,nb_pro_ref,submitted
5cawdmmv02fnjq1p0n8swf60y0,70,nb_pro_noref,submitted
4j8pfmz0aczwpegq8q72djnyr9,83,nb_pro_ref,submitted
4fmc2m5pqqdkgfmjbw5zmg7yb3,83,nb_pro_noref,submitted
61z4y7bmnn9rbbzjta36earc7g,91,nb_pro_ref,submitted
70rfgk67kkkjj0aafcsgq0wbq8,91,nb_pro_noref,submitted
