source_index,edit_index,model,run_duration
1,1,phota,40s
1,1,nb2_ref,1m0s
1,1,nb2_noref,22s
1,2,phota,37s
1,2,nb2_ref,24s
1,2,nb2_noref,25s
1,3,phota,47s
1,3,nb2_ref,22s
1,3,nb2_noref,27s
1,4,phota,46s
1,4,nb2_ref,28s
1,4,nb2_noref,22s
1,5,phota,48s
1,5,nb2_ref,26s
1,5,nb2_noref,22s
3,1,phota,52s
3,1,nb2_ref,33s
3,1,nb2_noref,26s
3,2,phota,39s
3,2,nb2_ref,26s
3,2,nb2_noref,20s
3,3,phota,43s
3,3,nb2_ref,31s
3,3,nb2_noref,33s
3,4,phota,44s
3,4,nb2_ref,28s
3,4,nb2_noref,22s
3,5,phota,42s
3,5,nb2_ref,26s
3,5,nb2_noref,23s
5,1,phota,54s
5,1,nb2_ref,25s
5,1,nb2_noref,41s
5,2,phota,43s
5,2,nb2_ref,27s
5,2,nb2_noref,22s
5,3,phota,42s
5,3,nb2_ref,24s
5,3,nb2_noref,31s
5,4,phota,58s
5,4,nb2_ref,27s
5,4,nb2_noref,26s
5,5,phota,43s
5,5,nb2_ref,26s
5,5,nb2_noref,30s
8,1,phota,45s
8,1,nb2_ref,36s
8,1,nb2_noref,32s
8,2,phota,39s
8,2,nb2_ref,24s
8,2,nb2_noref,21s
8,3,phota,47s
8,3,nb2_ref,47s
8,3,nb2_noref,32s
8,4,phota,43s
8,4,nb2_ref,25s
8,4,nb2_noref,41s
8,5,phota,45s
8,5,nb2_ref,24s
8,5,nb2_noref,26s
14,1,phota,1m8s
14,1,nb2_ref,30s
14,1,nb2_noref,26s
14,2,phota,42s
14,2,nb2_ref,32s
14,2,nb2_noref,27s
14,3,phota,43s
14,3,nb2_ref,27s
14,3,nb2_noref,30s
14,4,phota,41s
14,4,nb2_ref,26s
14,4,nb2_noref,25s
14,5,phota,51s
14,5,nb2_ref,32s
14,5,nb2_noref,35s
21,1,phota,46s
21,1,nb2_ref,31s
21,1,nb2_noref,49s
21,2,phota,40s
21,2,nb2_ref,24s
21,2,nb2_noref,23s
21,3,phota,53s
21,3,nb2_ref,30s
21,3,nb2_noref,43s
21,4,phota,43s
21,4,nb2_ref,28s
21,4,nb2_noref,23s
21,5,phota,45s
21,5,nb2_ref,23s
21,5,nb2_noref,27s
34,1,phota,1m2s
34,1,nb2_ref,28s
34,1,nb2_noref,28s
34,2,phota,46s
34,2,nb2_ref,23s
34,2,nb2_noref,24s
34,3,phota,50s
34,3,nb2_ref,41s
34,3,nb2_noref,24s
34,4,phota,48s
34,4,nb2_ref,25s
34,4,nb2_noref,26s
34,5,phota,54s
34,5,nb2_ref,29s
34,5,nb2_noref,26s
70,1,phota,59s
70,1,nb2_ref,35s
70,1,nb2_noref,46s
70,2,phota,40s
70,2,nb2_ref,30s
70,2,nb2_noref,23s
70,3,phota,1m6s
70,3,nb2_ref,31s
70,3,nb2_noref,29s
70,4,phota,49s
70,4,nb2_ref,40s
70,4,nb2_noref,26s
70,5,phota,42s
70,5,nb2_ref,40s
70,5,nb2_noref,25s
83,1,phota,56s
83,1,nb2_ref,27s
83,1,nb2_noref,26s
83,2,phota,38s
83,2,nb2_ref,20s
83,2,nb2_noref,23s
83,3,phota,49s
83,3,nb2_ref,26s
83,3,nb2_noref,27s
83,4,phota,42s
83,4,nb2_ref,28s
83,4,nb2_noref,24s
83,5,phota,40s
83,5,nb2_ref,23s
83,5,nb2_noref,22s
91,1,phota,1m12s
91,1,nb2_ref,33s
91,1,nb2_noref,30s
91,2,phota,41s
91,2,nb2_ref,28s
91,2,nb2_noref,26s
91,3,phota,1m0s
91,3,nb2_ref,29s
91,3,nb2_noref,28s
91,4,phota,1m8s
91,4,nb2_ref,33s
91,4,nb2_noref,43s
91,5,phota,48s
91,5,nb2_ref,29s
91,5,nb2_noref,26s
